mA tanb xsec_gg_H
210.0 3.8 4.44225168228
210.0 3.9 4.20106220245
210.0 4.0 4.09266042709
210.0 4.1 4.09266042709
210.0 4.2 3.99198436737
210.0 4.3 3.81170940399
210.0 4.4 3.73123764992
210.0 4.5 3.65664601326
210.0 4.6 3.65664601326
210.0 4.7 3.58758378029
210.0 4.8 3.46475982666
210.0 4.9 3.41027736664
215.0 1.0 16.7384376526
215.0 1.1 15.3825531006
215.0 1.2 14.1407632828
215.0 1.3 14.1407632828
215.0 1.4 13.0860433578
215.0 1.5 11.3581752777
215.0 1.6 10.6327953339
215.0 1.7 9.98000812531
215.0 1.8 9.98000812531
215.0 1.9 9.38916301727
215.0 2.0 8.36113166809
215.0 2.1 8.36113166809
215.0 2.2 7.50069761276
215.0 2.3 7.50069761276
215.0 2.4 6.77511835098
215.0 2.5 6.45496368408
215.0 2.6 6.45496368408
215.0 2.7 5.88815402985
215.0 2.8 5.88815402985
215.0 2.9 5.40502643585
215.0 3.0 5.19007015228
215.0 3.1 5.19007015228
215.0 3.2 4.80633449554
215.0 3.3 4.80633449554
215.0 3.4 4.47628641129
215.0 3.5 4.32894420624
215.0 3.6 4.32894420624
215.0 3.7 4.06541061401
215.0 3.8 4.06541061401
215.0 3.9 3.83891820908
215.0 4.0 3.7374162674
215.0 4.1 3.7374162674
215.0 4.2 3.64295649529
215.0 4.3 3.47393417358
215.0 4.4 3.39848661423
215.0 4.5 3.32859897614
215.0 4.6 3.32859897614
215.0 4.7 3.26386880875
215.0 4.8 3.14860367775
215.0 4.9 3.09749031067
220.0 1.0 16.4345111847
220.0 1.1 15.0179605484
220.0 1.2 13.7250003815
220.0 1.3 13.7250003815
220.0 1.4 12.6341505051
220.0 1.5 10.8671045303
220.0 1.6 10.133348465
220.0 1.7 9.47759342194
220.0 1.8 9.47759342194
220.0 1.9 8.88764095306
220.0 2.0 7.87018156052
220.0 2.1 7.87018156052
220.0 2.2 7.0267791748
220.0 2.3 7.0267791748
220.0 2.4 6.32205963135
220.0 2.5 6.01265144348
220.0 2.6 6.01265144348
220.0 2.7 5.46701669693
220.0 2.8 5.46701669693
220.0 2.9 5.00467634201
220.0 3.0 4.79998540878
220.0 3.1 4.79998540878
220.0 3.2 4.43543577194
220.0 3.3 4.43543577194
220.0 3.4 4.12297058105
220.0 3.5 3.98367190361
220.0 3.6 3.98367190361
220.0 3.7 3.73520898819
220.0 3.8 3.73520898819
220.0 3.9 3.5216422081
220.0 4.0 3.42641758919
220.0 4.1 3.42641758919
220.0 4.2 3.337859869
220.0 4.3 3.17917299271
220.0 4.4 3.1083176136
220.0 4.5 3.04264760017
220.0 4.6 3.04264760017
220.0 4.7 2.98179888725
220.0 4.8 2.87344455719
220.0 4.9 2.82533550262
225.0 1.0 16.1173820496
225.0 1.1 14.6490163803
225.0 1.2 13.3145360947
225.0 1.3 13.3145360947
225.0 1.4 12.1960144043
225.0 1.5 10.4025621414
